symbol,count,probability,code,length
23,2437,0.0101541667,1111000,7
24,2433,0.0101375000,1110111,7
26,2390,0.0099583333,1110101,7
22,2383,0.0099291667,1110011,7
19,2359,0.0098291667,1110001,7
21,2348,0.0097833333,1110000,7
25,2336,0.0097333333,1101111,7
18,2308,0.0096166667,1101011,7
20,2305,0.0096041667,1101010,7
27,2302,0.0095916667,1101001,7
28,2221,0.0092541667,1100000,7
7,2126,0.0088583333,1010111,7
17,2098,0.0087416667,1010100,7
29,2058,0.0085750000,1010001,7
12,2016,0.0084000000,1001110,7
13,2010,0.0083750000,1001101,7
30,1974,0.0082250000,1001001,7
31,1965,0.0081875000,1000111,7
10,1955,0.0081458333,1000101,7
14,1929,0.0080375000,1000010,7
11,1921,0.0080041667,1000000,7
16,1908,0.0079500000,0111111,7
33,1903,0.0079291667,0111101,7
32,1812,0.0075500000,0111010,7
39,1744,0.0072666667,0110110,7
34,1741,0.0072541667,0110101,7
5,1739,0.0072458333,0110100,7
15,1733,0.0072208333,0110010,7
40,1670,0.0069583333,0110000,7
35,1661,0.0069208333,0101111,7
38,1659,0.0069125000,0101110,7
9,1655,0.0068958333,0101101,7
36,1640,0.0068333333,0101011,7
37,1622,0.0067583333,0101000,7
98,1615,0.0067291667,0100110,7
41,1579,0.0065791667,0100100,7
42,1565,0.0065208333,0100011,7
118,1534,0.0063916667,0100001,7
125,1524,0.0063500000,0011111,7
123,1494,0.0062250000,0011101,7
43,1458,0.0060750000,0011011,7
133,1428,0.0059500000,0011000,7
115,1425,0.0059375000,0010111,7
44,1409,0.0058708333,0010101,7
121,1388,0.0057833333,0010011,7
95,1387,0.0057791667,0010010,7
131,1384,0.0057666667,0010001,7
124,1381,0.0057541667,0010000,7
126,1376,0.0057333333,0001111,7
45,1363,0.0056791667,0001101,7
113,1356,0.0056500000,0001100,7
100,1354,0.0056416667,0001011,7
120,1344,0.0056000000,0001010,7
116,1340,0.0055833333,0001001,7
114,1338,0.0055750000,0000110,7
128,1338,0.0055750000,0000111,7
110,1318,0.0054916667,0000100,7
92,1312,0.0054666667,0000010,7
122,1312,0.0054666667,0000011,7
89,1311,0.0054625000,0000001,7
135,1296,0.0054000000,11111111,8
106,1281,0.0053375000,11111110,8
8,1279,0.0053291667,11111100,8
46,1279,0.0053291667,11111101,8
48,1254,0.0052250000,11111010,8
130,1251,0.0052125000,11111001,8
143,1249,0.0052041667,11111000,8
117,1248,0.0052000000,11110111,8
96,1246,0.0051916667,11110110,8
129,1232,0.0051333333,11110101,8
84,1230,0.0051250000,11110100,8
6,1226,0.0051083333,11110011,8
87,1215,0.0050625000,11110010,8
47,1201,0.0050041667,11101100,8
111,1194,0.0049750000,11101001,8
127,1189,0.0049541667,11101000,8
134,1186,0.0049416667,11100101,8
101,1182,0.0049250000,11100100,8
99,1168,0.0048666667,11011101,8
119,1164,0.0048500000,11011100,8
145,1160,0.0048333333,11011011,8
94,1159,0.0048291667,11011001,8
103,1159,0.0048291667,11011010,8
132,1158,0.0048250000,11011000,8
138,1149,0.0047875000,11010001,8
52,1148,0.0047833333,11001111,8
93,1148,0.0047833333,11010000,8
54,1143,0.0047625000,11001110,8
88,1139,0.0047458333,11001101,8
53,1138,0.0047416667,11001100,8
97,1137,0.0047375000,11001011,8
85,1135,0.0047291667,11001010,8
56,1133,0.0047208333,11001001,8
60,1128,0.0047000000,11001000,8
104,1127,0.0046958333,11000111,8
86,1126,0.0046916667,11000101,8
141,1126,0.0046916667,11000110,8
137,1122,0.0046750000,11000100,8
58,1116,0.0046500000,11000011,8
49,1109,0.0046208333,10111110,8
136,1109,0.0046208333,10111111,8
83,1095,0.0045625000,10111101,8
3,1091,0.0045458333,10111010,8
51,1091,0.0045458333,10111011,8
79,1091,0.0045458333,10111100,8
50,1090,0.0045416667,10111000,8
112,1090,0.0045416667,10111001,8
59,1084,0.0045166667,10110111,8
64,1083,0.0045125000,10110110,8
142,1081,0.0045041667,10110101,8
55,1077,0.0044875000,10110100,8
108,1076,0.0044833333,10110011,8
109,1075,0.0044791667,10110010,8
61,1074,0.0044750000,10110001,8
66,1062,0.0044250000,10101101,8
57,1057,0.0044041667,10101100,8
140,1050,0.0043750000,10101010,8
144,1050,0.0043750000,10101011,8
152,1044,0.0043500000,10100111,8
80,1040,0.0043333333,10100110,8
107,1037,0.0043208333,10100101,8
78,1036,0.0043166667,10100100,8
65,1015,0.0042291667,10100000,8
63,1012,0.0042166667,10011110,8
69,1012,0.0042166667,10011111,8
67,996,0.0041500000,10011001,8
68,995,0.0041458333,10011000,8
102,993,0.0041375000,10010111,8
147,992,0.0041333333,10010110,8
82,991,0.0041291667,10010101,8
105,990,0.0041250000,10010100,8
154,989,0.0041208333,10010001,8
62,983,0.0040958333,10010000,8
148,979,0.0040791667,10001001,8
90,975,0.0040625000,10001000,8
146,971,0.0040458333,10000111,8
139,966,0.0040250000,10000110,8
71,964,0.0040166667,10000010,8
77,964,0.0040166667,10000011,8
70,952,0.0039666667,01111100,8
91,934,0.0038916667,01111001,8
81,923,0.0038458333,01110111,8
153,914,0.0038083333,01110110,8
150,904,0.0037666667,01110011,8
73,902,0.0037583333,01110010,8
76,894,0.0037250000,01110001,8
170,891,0.0037125000,01101111,8
172,875,0.0036458333,01101110,8
72,870,0.0036250000,01100111,8
167,866,0.0036083333,01100110,8
74,833,0.0034708333,01100010,8
161,828,0.0034500000,01011001,8
171,821,0.0034208333,01011000,8
75,813,0.0033875000,01010010,8
159,810,0.0033750000,01001111,8
4,809,0.0033708333,01001011,8
156,809,0.0033708333,01001110,8
155,793,0.0033041667,01001010,8
163,768,0.0032000000,01000100,8
175,765,0.0031875000,01000001,8
173,762,0.0031750000,01000000,8
149,761,0.0031708333,00111101,8
151,754,0.0031416667,00111100,8
177,740,0.0030833333,00111000,8
176,724,0.0030166667,00110100,8
169,722,0.0030083333,00110011,8
180,712,0.0029666667,00101101,8
166,711,0.0029625000,00101100,8
165,706,0.0029416667,00101001,8
168,696,0.0029000000,00101000,8
179,684,0.0028500000,00011101,8
160,683,0.0028458333,00011100,8
158,671,0.0027958333,00010001,8
178,667,0.0027791667,00010000,8
162,666,0.0027750000,00001011,8
174,664,0.0027666667,00001010,8
164,649,0.0027041667,00000000,8
157,639,0.0026625000,111110111,9
181,635,0.0026458333,111110110,9
182,530,0.0022083333,101100000,9
185,513,0.0021375000,101000010,9
184,492,0.0020500000,100011011,9
183,490,0.0020416667,100011001,9
186,489,0.0020375000,100011000,9
187,481,0.0020041667,011111011,9
191,465,0.0019375000,011110001,9
190,459,0.0019125000,011110000,9
188,449,0.0018708333,011100001,9
189,444,0.0018500000,011100000,9
195,424,0.0017666667,011000110,9
196,410,0.0017083333,010101010,9
198,410,0.0017083333,010101011,9
192,408,0.0017000000,010100111,9
197,408,0.0017000000,010101000,9
194,407,0.0016958333,010100110,9
2,371,0.0015458333,001110010,9
199,361,0.0015041667,001100101,9
193,351,0.0014625000,001100100,9
200,338,0.0014083333,000000011,9
202,312,0.0013000000,1110110111,10
201,304,0.0012666667,1110110110,10
204,300,0.0012500000,1110110101,10
203,277,0.0011541667,1100001010,10
205,271,0.0011291667,1100001000,10
207,270,0.0011250000,1011000011,10
208,239,0.0009958333,0111110101,10
209,232,0.0009666667,0111110100,10
206,231,0.0009625000,0110001111,10
214,207,0.0008625000,0101010011,10
217,200,0.0008333333,0100010111,10
210,195,0.0008125000,0100010110,10
211,190,0.0007916667,0100010100,10
212,189,0.0007875000,0011100111,10
215,187,0.0007791667,0011100110,10
213,185,0.0007708333,0011010111,10
218,183,0.0007625000,0011010110,10
216,181,0.0007541667,0011010100,10
219,150,0.0006250000,11101101001,11
228,150,0.0006250000,0000000100,10
225,147,0.0006125000,11000010111,11
220,143,0.0005958333,11000010110,11
221,138,0.0005750000,11000010011,11
227,133,0.0005541667,10110000101,11
224,132,0.0005500000,10110000100,11
222,130,0.0005416667,10100001110,11
223,130,0.0005416667,10100001111,11
236,128,0.0005333333,10100001101,11
234,127,0.0005291667,10100001100,11
226,123,0.0005125000,10001101010,11
233,123,0.0005125000,10001101011,11
229,122,0.0005083333,10001101000,11
235,106,0.0004416667,01100011101,11
